ano_compra,nome_instituicao,cnpj_instituicao,municipio_instituicao,uf,compra,insercao,codigo_br,descricao_catmat,unidade_fornecimento,generico,modalidade_compra,tipo_compra,unidade_fornecimento_capacidade,cnpj_fornecedor,fornecedor,cnpj_fabricante,fabricante,qtd_itens_comprados,preco_unitario,preco_total,pk,dt_criacao_registro
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,304871,"MORFINA, APRESENTAÇÃO:SULFATO, CONCENTRAÇÃO:10MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL",AMPOLA,N,Pregão,ADMINISTRATIVA,AMPOLA 1.00 ML,44734671002286,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,44734671000151,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,50,2.67,133.5,12,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,279269,"VARFARINA SÓDICA, DOSAGEM:5 MG",COMPRIMIDO,N,Pregão,ADMINISTRATIVA,COMPRIMIDO,5782733000149,CIAMED - DISTRIBUIDORA DE MEDICAMENTOS LTDA.,33349473000158,FARMOQUIMICA S A,100000,0.122,12200.0,13,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,342134,"HIDROCORTISONA, COMPOSIÇÃO:SAL SUCCINATO SÓDICO, CONCENTRAÇÃO:500 MG, FORMA FARMACÊUTICA:PÓ LIÓFILO P/ INJETÁVEL",FRASCO-AMPOLA,N,Pregão,ADMINISTRATIVA,FRASCO-AMPOLA,2520829000140,DIMASTER - COMERCIO DE PRODUTOS HOSPITALARES LTDA.,17159229000176,LABORATORIO TEUTO BRASILEIRO S/A,600,4.78,2868.0,14,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,267666,"FUROSEMIDA, COMPOSIÇÃO:10 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL",AMPOLA,S,Pregão,ADMINISTRATIVA,AMPOLA 2.00 ML,94389400000184,MCW PRODUTOS MEDICOS E HOSPITALARES LTDA,17174657000178,HYPOFARMA INSTITUTO DE HYPODERMIA E FARMACIA LTDA,350,0.7163,250.705,15,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,448612,"DICLOFENACO, COMPOSIÇÃO:SAL DIETILAMÔNIO, CONCENTRAÇÃO:10 MG/G, FORMA FARMACÊUTICA:GEL",BISNAGA,N,Pregão,ADMINISTRATIVA,BISNAGA 60.00 G,12889035000102,INOVAMED HOSPITALAR LTDA,2814497000107,CIMED INDUSTRIA S.A.,10,3.25,32.5,16,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,268851,"NORFLOXACINO, DOSAGEM:400 MG",COMPRIMIDO,S,Pregão,ADMINISTRATIVA,COMPRIMIDO,6294126000100,RS - PRODUTOS HOSPITALARES LTDA,25773037000183,PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A,31500,0.32,10080.0,17,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,271036,"DOXICICLINA, DOSAGEM:100 MG",COMPRIMIDO,S,Pregão,ADMINISTRATIVA,COMPRIMIDO,5782733000149,CIAMED - DISTRIBUIDORA DE MEDICAMENTOS LTDA.,61286647000116,SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA.,254000,0.262,66548.0,18,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,267643,"DEXAMETASONA, DOSAGEM:0,1%, APRESENTAÇÃO:CREME",BISNAGA,S,Pregão,ADMINISTRATIVA,BISNAGA 10.00 G,3652030000170,CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA,73856593000166,"PRATI, DONADUZZI & CIA LTDA",15000,1.3,19500.0,19,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,267283,"ESCOPOLAMINA BUTILBROMETO, DOSAGEM:10 MG",DRÁGEA,N,Pregão,ADMINISTRATIVA,DRÁGEA,3652030000170,CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA,61082426000207,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,130000,0.465,60450.0,20,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,271581,"TOBRAMICINA, DOSAGEM:0,3%, APRESENTAÇÃO:SOLUÇÃO OFTÁLMICA",FRASCO,S,Pregão,ADMINISTRATIVA,FRASCO 5.00 ML,6294126000100,RS - PRODUTOS HOSPITALARES LTDA,3485572000104,GEOLAB INDUSTRIA FARMACEUTICA S/A,2000,4.8,9600.0,21,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,315056,"ÁGUA DESTILADA, ASPECTO FÍSICO:BIDESTILADA, ESTÉRIL, APIROGÊNICA",FRASCO,N,Pregão,ADMINISTRATIVA,FRASCO 10.00 ML,6294126000100,RS - PRODUTOS HOSPITALARES LTDA,6628333000146,FARMACE - INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA,3000,0.2,600.0,22,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,268370,"ACICLOVIR, DOSAGEM:200 MG",COMPRIMIDO,N,Pregão,ADMINISTRATIVA,COMPRIMIDO,2814497000700,CIMED INDUSTRIA S.A.,2814497000107,CIMED INDUSTRIA S.A.,195000,0.14,27300.0,23,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,273395,"ISOSSORBIDA, PRINCÍPIO ATIVO:SAL DINITRATO, DOSAGEM:5 MG, TIPO MEDICAMENTO:SUBLINGUAL",COMPRIMIDO,N,Pregão,ADMINISTRATIVA,COMPRIMIDO,6294126000100,RS - PRODUTOS HOSPITALARES LTDA,923140000131,EMS SIGMA PHARMA LTDA,30000,0.24,7200.0,24,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,268125,"LEVOTIROXINA SÓDICA, DOSAGEM:100 MCG",COMPRIMIDO,N,Pregão,ADMINISTRATIVA,COMPRIMIDO,4071245000160,"LICIMED DISTRIBUIDORA DE MEDICAMENTOS, CORRELATOS E PRODUTOS MEDICOS E HOSPITALARES LTDA",60659463002992,ACHE LABORATORIOS FARMACEUTICOS SA,360000,0.094,33840.0,25,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,442703,"CEFTRIAXONA SÓDICA, CONCENTRAÇÃO:500 MG, FORMA FARMACEUTICA:PÓ P/ SOLUÇÃO INJETÁVEL",FRASCO-AMPOLA,N,Pregão,ADMINISTRATIVA,FRASCO-AMPOLA,42227547000174,MED4 IMPORTADORA E DISTRIBUIDORA LTDA,61190096000192,EUROFARMA LABORATORIOS S.A.,2000,10.0,20000.0,26,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,267507,"ALBENDAZOL, DOSAGEM:40 MG/ML, USO:SUSPENSÃO ORAL",FRASCO,S,Pregão,ADMINISTRATIVA,FRASCO 10.00 ML,73856593000166,"PRATI, DONADUZZI & CIA LTDA",73856593000166,"PRATI, DONADUZZI & CIA LTDA",2000,1.0,2000.0,27,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,267567,"CARVEDILOL, DOSAGEM:25 MG",COMPRIMIDO,S,Pregão,ADMINISTRATIVA,COMPRIMIDO,2814497000700,CIMED INDUSTRIA S.A.,2814497000107,CIMED INDUSTRIA S.A.,190000,0.11,20900.0,28,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,272333,"DIMENIDRINATO, APRESENTAÇÃO:ASSOCIADO COM PIRIDOXINA CLORIDRATO, DOSAGEM:50MG + 10MG",COMPRIMIDO,N,Pregão,ADMINISTRATIVA,COMPRIMIDO,7752236000123,MEDILAR IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICO HOSPITALARES S/A,61082426000207,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,220000,0.61,134200.0,29,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,267425,"VERAPAMIL CLORIDRATO, DOSAGEM:80 MG",COMPRIMIDO,S,Pregão,ADMINISTRATIVA,COMPRIMIDO,37931064000116,LEMED COMERCIO DE MATERIAL E MEDICAMENTOS HOSPITALARES EIRELI,45992062000165,GERMED FARMACEUTICA LTDA,100000,0.25,25000.0,30,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,269462,"ALENDRONATO DE SÓDIO, DOSAGEM:70 MG",COMPRIMIDO,S,Pregão,ADMINISTRATIVA,COMPRIMIDO,25321906000139,BROILO DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS LTDA,45992062000165,GERMED FARMACEUTICA LTDA,35000,0.169,5915.0,31,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,268149,"RISPERIDONA, DOSAGEM:2 MG",COMPRIMIDO,N,Pregão,ADMINISTRATIVA,COMPRIMIDO,73856593000166,"PRATI, DONADUZZI & CIA LTDA",44734671000151,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,330000,0.085,28050.0,32,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,372335,"METRONIDAZOL, CONCENTRAÇAO:100 MG/G, FORMA FARMACEUTICA:GEL VAGINAL, CARACTERÍSTICA ADICIONAL:COM APLICADOR",BISNAGA,S,Pregão,ADMINISTRATIVA,BISNAGA 50.00 G,73856593000166,"PRATI, DONADUZZI & CIA LTDA",73856593000166,"PRATI, DONADUZZI & CIA LTDA",1300,4.2,5460.0,33,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,323590,"SULFATO FERROSO, DOSAGEM FERRO:125MG/ML DE FERRO II, FORMA FARMACÊUTICA:SOLUÇÃO ORAL-GOTAS",FRASCO,N,Pregão,ADMINISTRATIVA,FRASCO 30.00 ML,22862531000126,TOP NORTE COMERCIO DE MATERIAL MEDICO HOSPITALAR LTDA,2456955000183,NATULAB LABORATORIO S.A,2400,0.875,2100.0,34,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,271089,"AMOXICILINA, CONCENTRAÇÃO:500MG",CÁPSULA,S,Pregão,ADMINISTRATIVA,CÁPSULA,3652030000170,CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA,5399786000185,UNICHEM FARMACEUTICA DO BRASIL LTDA.,455000,0.17,77350.0,35,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,292195,"HALOPERIDOL, CONCENTRAÇÃO:2 MG/ML, TIPO USO:SOLUÇÃO ORAL-GOTAS",FRASCO,N,Pregão,ADMINISTRATIVA,FRASCO 20.00 ML,44734671002286,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,44734671000151,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,1200,3.0,3600.0,36,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,266788,"NISTATINA, DOSAGEM:25.000 UI/G, APRESENTAÇÃO:CREME VAGINAL",BISNAGA,S,Pregão,ADMINISTRATIVA,BISNAGA 60.00 G,73856593000166,"PRATI, DONADUZZI & CIA LTDA",73856593000166,"PRATI, DONADUZZI & CIA LTDA",3300,4.95,16335.0,37,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,300725,"FENOBARBITAL SÓDICO, DOSAGEM:100 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL",AMPOLA,N,Pregão,ADMINISTRATIVA,AMPOLA 2.00 ML,44734671002286,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,44734671000151,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,200,2.42,484.0,38,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,271111,"AMOXICILINA, CONCENTRAÇÃO:50MG/ML, APRESENTAÇÃO:PÓ PARA SUSPENSÃO ORAL",FRASCO,S,Pregão,ADMINISTRATIVA,FRASCO 150.00 ML,2814497000700,CIMED INDUSTRIA S.A.,2814497000107,CIMED INDUSTRIA S.A.,11000,3.9,42900.0,39,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,340207,"CLORPROMAZINA, CONCENTRAÇÃO:40 MG/ML, FORMA FARMACEUTICA:SOLUÇÃO ORAL - GOTAS",FRASCO,N,Pregão,ADMINISTRATIVA,FRASCO 20.00 ML,44734671002286,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,44734671000151,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,700,7.0,4900.0,40,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,353333,"AMOXICILINA, PRINCÍPIO ATIVO:ASSOCIADA COM CLAVULANATO DE POTÁSSIO, CONCENTRAÇÃO:875MG + 125MG",COMPRIMIDO,S,Pregão,ADMINISTRATIVA,COMPRIMIDO,2520829000140,DIMASTER - COMERCIO DE PRODUTOS HOSPITALARES LTDA.,73663650000190,RANBAXY FARMACEUTICA LTDA,420000,1.42,596400.0,41,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,459822,"ALBENDAZOL, CONCENTRAÇÃO:400 MG, FORMA FARMACEUTICA:COMPRIMIDO MASTIGÁVEL",COMPRIMIDO,S,Pregão,ADMINISTRATIVA,COMPRIMIDO,73856593000166,"PRATI, DONADUZZI & CIA LTDA",73856593000166,"PRATI, DONADUZZI & CIA LTDA",13200,0.35,4620.0,42,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,267140,"AZITROMICINA, DOSAGEM:500 MG",COMPRIMIDO,S,Pregão,ADMINISTRATIVA,COMPRIMIDO,73856593000166,"PRATI, DONADUZZI & CIA LTDA",73856593000166,"PRATI, DONADUZZI & CIA LTDA",85000,0.72,61200.0,43,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,271036,"DOXICICLINA, DOSAGEM:100 MG",COMPRIMIDO,S,Pregão,ADMINISTRATIVA,COMPRIMIDO,5782733000149,CIAMED - DISTRIBUIDORA DE MEDICAMENTOS LTDA.,61286647000116,SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA.,54000,0.262,14148.0,44,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,268504,"ONDANSETRONA CLORIDRATO, DOSAGEM:2 MG/ML, INDICAÇÃO:INJETÁVEL",AMPOLA,N,Pregão,ADMINISTRATIVA,AMPOLA 2.00 ML,44734671002286,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,44734671000151,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,2000,1.03,2060.0,45,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,300733,"DEXAMETASONA, CONCENTRAÇÃO:2 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL",AMPOLA,S,Pregão,ADMINISTRATIVA,AMPOLA 1.00 ML,6294126000100,RS - PRODUTOS HOSPITALARES LTDA,6628333000146,FARMACE - INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA,1000,0.68,680.0,46,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,267717,"METRONIDAZOL, DOSAGEM:250 MG",COMPRIMIDO,S,Pregão,ADMINISTRATIVA,COMPRIMIDO,73856593000166,"PRATI, DONADUZZI & CIA LTDA",73856593000166,"PRATI, DONADUZZI & CIA LTDA",164000,0.15,24600.0,47,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,268299,"SECNIDAZOL, CONCENTRAÇÃO:1.000 MG",COMPRIMIDO,S,Pregão,ADMINISTRATIVA,COMPRIMIDO,3652030000170,CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA,17115437000173,LABORATORIO GLOBO SA,4500,0.78,3510.0,48,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,268949,"AZITROMICINA, DOSAGEM:40 MG/ML, APRESENTAÇÃO:SUSPENSÃO ORAL",FRASCO,S,Pregão,ADMINISTRATIVA,FRASCO 22.50 ML,73856593000166,"PRATI, DONADUZZI & CIA LTDA",73856593000166,"PRATI, DONADUZZI & CIA LTDA",11000,7.0,77000.0,49,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,272335,"DIMENIDRINATO, APRESENTAÇÃO:ASSOCIADO COM PIRIDOXINA CLORIDRATO, DOSAGEM:25MG + 5MG/ML, TIPO MEDICAMENTO:SOLUÇÃO ORAL - GOTAS",FRASCO,N,Pregão,ADMINISTRATIVA,FRASCO 20.00 ML,41141956000190,PATOMEDI DISTRIBUIDORA DE MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA,17562075000169,CIFARMA CIENTIFICA FARMACEUTICA LTDA,3000,3.6799,11039.7,50,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,268504,"ONDANSETRONA CLORIDRATO, DOSAGEM:2 MG/ML, INDICAÇÃO:INJETÁVEL",AMPOLA,N,Pregão,ADMINISTRATIVA,AMPOLA 4.00 ML,44734671002286,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,44734671000151,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,1500,1.07,1605.0,51,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,267677,"IBUPROFENO, DOSAGEM:300 MG",COMPRIMIDO,N,Pregão,ADMINISTRATIVA,COMPRIMIDO,17472278000164,GOLDENPLUS - COMERCIO DE MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA,30222814000131,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,730000,0.086,62780.0,52,2025/07/29 13:20:05.738
